race_id,race_name,horse_no,gate_no,horse_name,jockey_name,rank_in_race,signal,印,mark,recommendation,ability_score,win_prob,top3_prob,win_ev,win_odds
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,3,2,ルージュソムニウム,幸,13,様子見,様子見,様子見,様子見,29.932201675717632,0.04966100837858816,0.22393419360678857,0.566135495515905,11.4
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,14,8,デュードロップ,国分優,14,様子見,様子見,様子見,様子見,27.31809794893982,0.03659048974469909,0.12835173285292792,2.0783398174989083,56.8
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,10,6,グリッタードール,田口,15,様子見,様子見,様子見,様子見,26.94645824822035,0.03473229124110175,0.11620448331129744,4.8382081698854735,139.3
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,4,4,フームスムート,上野,1,軸,軸,軸,軸,52.60463162771895,0.16302315813859478,0.3568753256935504,4.042974321837151,24.8
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,7,6,ホークフィールド,高田,2,対抗,対抗,対抗,対抗,52.064777453877916,0.1603238872693896,0.31514557548760125,0.28858299708490126,1.8
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,3,3,ナックエルドラド,伴,3,穴,穴,穴,穴,50.583601849322754,0.15291800924661378,0.17703189182781007,6.453139990207102,42.2
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,10,8,ヴァレッタカズマ,▲井上,4,連下,連下,連下,連下,44.425805833535364,0.1221290291676768,0.3424437457698595,8.121580439650508,66.5
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,11,8,マテンロウジョイ,森一,5,連下,連下,連下,連下,40.35596903366445,0.10177984516832225,0.11079357568070727,0.6208570555267657,6.1
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,2,2,テイエムエメラルド,小野寺,6,様子見,様子見,様子見,様子見,39.029735786518046,0.09514867893259026,0.17966976698931594,1.9315181823315823,20.3
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,9,7,ワールドスケール,黒岩,7,様子見,様子見,様子見,様子見,31.931741522921314,0.05965870761460656,0.11692206654353546,1.4974335611266247,25.1
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,6,6,ケイテンアイジン,小坂,8,様子見,様子見,様子見,様子見,28.53536572483349,0.04267682862416746,0.06715378809970562,0.4096975547920076,9.6
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,8,7,ゴールドブリーズ,石神深,9,様子見,様子見,様子見,様子見,28.38359118264169,0.04191795591320845,0.024910630188305277,0.8677016874034149,20.7
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,1,1,アトラクティーボ,▲坂口,10,様子見,様子見,様子見,様子見,26.59572819532671,0.032978640976633555,0.03658989725419769,0.4814881582588499,14.6
20260425_KYOTO_04,4歳以上障害OP 【波乱B:ヒモ荒れ】,5,5,アルマーザアミール,小牧加,11,様子見,様子見,様子見,様子見,25.489051789639287,0.027445258948196435,0.07853343508618765,0.17839418316327682,6.5
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,10,7,マーゴットショット,荻野琢,1,軸,軸,軸,軸,40.36077809965414,0.10180389049827068,0.39593312168951394,2.7792462106027895,27.3
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,12,8,エアセンチュリー,松若,2,対抗,対抗,対抗,対抗,40.339970001511816,0.10169985000755906,0.4022647956089932,6.051141075449764,59.5
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,4,4,タガノミトゥンドゥ,△田山,3,穴,穴,穴,穴,40.219049367231705,0.10109524683615853,0.43073012908651936,8.926710295632798,88.3
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,1,1,コスモフィレンツェ,幸,4,連下,連下,連下,連下,39.659005051603955,0.09829502525801975,0.39590694734423604,0.30471457829986126,3.1
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,9,7,ビップヴォルフ,西村淳,5,連下,連下,連下,連下,39.305049415870656,0.09652524707935328,0.43416199580334547,0.2606181671142539,2.7
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,2,2,エルナト,▲森田,6,様子見,様子見,様子見,様子見,39.233060090631625,0.0961653004531581,0.3635793970041128,0.7885554637158964,8.2
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,5,5,フウセン,鮫島駿,7,様子見,様子見,様子見,様子見,38.69401924147422,0.09347009620737114,0.4200150956810567,0.44865646179538143,4.8
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,11,8,スウィーティーベル,団野,8,様子見,様子見,様子見,様子見,38.60588495615383,0.09302942478076916,0.22023743855460093,3.060668075287305,32.9
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,7,6,レイワノキセキ,太宰,9,様子見,様子見,様子見,様子見,36.62457269047475,0.08312286345237375,0.3242050865789116,1.3632149606189294,16.4
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,3,3,サトノトリニティ,高杉,10,様子見,様子見,様子見,様子見,32.23391926382915,0.06116959631914577,0.23196664366930697,1.6087603831935338,26.3
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,6,5,ロスニーニョス,古川吉,11,様子見,様子見,様子見,様子見,30.7319322621562,0.05365966131078101,0.12700998475386066,4.6576586017757915,86.8
20260425_KYOTO_05,3歳未勝利 【見送りC:大混戦】,8,6,チュオンソン,岩部,12,様子見,様子見,様子見,様子見,23.99275955940794,0.019963797797039703,0.13778491520085748,0.7965555321018841,39.9
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,12,6,ブランチアウト,古川吉,1,軸,軸,軸,軸,35.562771140960876,0.07781385570480438,0.4582746640623828,0.42019482080594367,5.4
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,8,4,チュウワメロディー,松若,2,対抗,対抗,対抗,対抗,35.53876605644092,0.07769383028220458,0.5018364688188299,0.5438568119754321,7.0
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,11,6,ヴェロシオン,高倉,3,穴,穴,穴,穴,34.870730027676544,0.07435365013838273,0.39330105070565097,7.056161398132521,94.9
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,9,5,クーブグラッセ,菱田,4,連下,連下,連下,連下,34.867160770849566,0.07433580385424784,0.39593312168951394,1.5090168182412314,20.3
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,6,3,メイショウザルク,城戸,5,連下,連下,連下,連下,34.703622835150426,0.07351811417575214,0.4053446031040967,10.990958069274946,149.5
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,7,4,ヒデガミティアラ,川須,6,様子見,様子見,様子見,様子見,34.703622835150426,0.07351811417575214,0.4041861299690563,15.740228245028534,214.1
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,2,1,セルヴァジオ,団野,7,様子見,様子見,様子見,様子見,34.68209986696036,0.0734104993348018,0.42874884705810906,0.6313302942792954,8.6
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,14,7,トウカイジーク,岩田望,8,様子見,様子見,様子見,様子見,34.66941470504479,0.07334707352522393,0.40507625054452134,0.4620865632089108,6.3
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,10,5,サンライズレマ,鮫島駿,9,様子見,様子見,様子見,様子見,34.612039299649446,0.07306019649824723,0.3872998357064063,4.975399381530636,68.1
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,17,8,ダーコ,松山,10,様子見,様子見,様子見,様子見,34.06500592355834,0.0703250296177917,0.36167826870763453,0.8509328583752795,12.1
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,4,2,レッドパラジウム,吉村,11,様子見,様子見,様子見,様子見,32.50612526476034,0.0625306263238017,0.3210856104680245,1.9384494160378527,31.0
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,1,1,ランスオブヒーロー,高杉,12,様子見,様子見,様子見,様子見,31.577719962548287,0.05788859981274142,0.24133263378191236,0.21997667928841738,3.8
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,15,8,クロスボーダー,△田山,13,様子見,様子見,様子見,様子見,30.375317749045905,0.05187658874522952,0.2434977681837899,0.38388675671469846,7.4
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,5,3,ビサイレント,▲森田,14,様子見,様子見,様子見,様子見,27.950998700733408,0.03975499350366704,0.13808851124652274,4.452559272410708,112.0
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,3,2,メイショウマグナ,太宰,15,様子見,様子見,様子見,様子見,24.925308562670814,0.02462654281335408,0.12754717387182954,2.6301147724662157,106.8
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,16,8,キングケープ,田口,16,様子見,様子見,様子見,様子見,23.410322525792957,0.017051612628964784,0.17518328825843257,0.6718335375812124,39.4
20260425_KYOTO_06,3歳未勝利 【見送りC:大混戦】,13,7,ニホンピロエール,国分優,17,様子見,様子見,様子見,様子見,20.9789737730066,0.004894868865032999,0.031538821909102656,1.6432074779915777,335.7
