race_id,race_date,venue,race_no,race_name,win_rank,gate_no,horse_no,horse_name,jockey_name,signal,confidence_label,ability_score,win_prob,top2_prob,top3_prob
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,7.0,8,8,モズオサキニ,鮫島克駿,様子見,D,34.07,0.0521,0.3074,0.3231
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,8.0,5,5,レジーナテンペスタ,西塚洸二,様子見,D,37.09,0.0491,0.3077,0.3699
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,9.0,15,15,ゴーイングムーン,高杉吏麒,様子見,D,28.78,0.0479,0.2626,0.2626
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,10.0,1,1,ボールドペイト,太宰啓介,様子見,D,32.15,0.0372,0.2578,0.289
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,11.0,11,11,ジュエルサンライズ,斎藤新,様子見,D,29.19,0.0316,0.1592,0.2073
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,12.0,14,14,リアルフォルツァ,幸英明,様子見,D,29.09,0.0228,0.1869,0.1994
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,13.0,4,4,クロボタン,田山旺佑,様子見,D,25.77,0.0051,0.1128,0.1146
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,14.0,2,2,チェラブ,藤懸貴志,様子見,D,23.0,0.0038,0.0446,0.0687
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,14.0,3,3,キタノレクレドール,大久保友,様子見,D,22.05,0.0038,0.0369,0.05
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,14.0,9,9,ナムラオーレ,柴田裕一,様子見,D,24.62,0.0038,0.045,0.05
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,1.0,5,5,デルマフジ,ルメール,軸,S,69.72,0.1776,0.8628,0.8741
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,2.0,11,11,カモンメーン,坂井瑠星,複勝圏,A,65.99,0.1652,0.818,0.847
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,3.0,4,4,パーヴォ,松山弘平,能力注,B,58.61,0.1566,0.7478,0.771
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,4.0,1,1,ドリームプレミア,岩田望来,様子見,C,44.58,0.1231,0.5635,0.5808
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,5.0,3,3,サトノトリニティ,高杉吏麒,様子見,D,40.88,0.0927,0.4533,0.5066
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,6.0,6,6,レイワノキセキ,田山旺佑,様子見,D,41.67,0.0764,0.3757,0.466
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,7.0,10,10,アイゼンハイム,鮫島克駿,様子見,D,35.29,0.0581,0.3107,0.3566
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,8.0,9,9,フクチャンブラック,池添謙一,様子見,D,34.32,0.0472,0.2814,0.319
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,9.0,12,12,カパルア,太宰啓介,様子見,D,32.7,0.0409,0.254,0.3036
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,10.0,13,13,ツーエムアスリート,松若風馬,様子見,D,27.85,0.0156,0.1276,0.1358
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,11.0,14,14,オドワローズ,西村淳也,様子見,D,28.35,0.0148,0.1283,0.1849
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,12.0,7,7,スウィーティーベル,団野大成,様子見,D,30.45,0.0135,0.0924,0.1941
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,13.0,8,8,ショウナンアンバー,吉村誠之,様子見,D,25.39,0.0095,0.0525,0.0771
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,14.0,15,15,ニテンイチリュウ,田口貫太,様子見,D,25.85,0.0046,0.03,0.05
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,15.0,2,2,モズノシアワセ,森田誠也,様子見,D,24.51,0.0041,0.0527,0.0614
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,1.0,12,12,シルバーレシオ,岩田望来,軸,S,70.59,0.178,0.8631,0.8735
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,2.0,10,10,スカイストライプス,ルメール,複勝圏,A,63.57,0.1614,0.8024,0.8122
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,3.0,3,3,ヴォーカライズ,西村淳也,能力注,B,51.83,0.1353,0.6729,0.689
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,4.0,5,5,ブリッジエフェクト,斎藤新,様子見,C,46.21,0.118,0.5756,0.5879
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,5.0,2,2,アスクチャンスマン,岩田康誠,様子見,D,45.47,0.1054,0.5686,0.5988
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,6.0,9,9,セルジュバローズ,川田将雅,様子見,D,41.03,0.0861,0.4839,0.5592
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,7.0,11,11,アーサーバローズ,高杉吏麒,様子見,D,32.77,0.0533,0.2716,0.2827
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,8.0,7,7,タイセイジェイド,坂井瑠星,様子見,D,34.4,0.0443,0.2773,0.2915
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,9.0,1,1,クイノールト,鮫島克駿,様子見,D,30.76,0.0329,0.1806,0.2177
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,10.0,13,13,チェリヴェント,吉村誠之,様子見,D,34.22,0.032,0.2598,0.2598
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,11.0,4,4,ルファーダ,幸英明,様子見,D,31.68,0.0246,0.1885,0.2235
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,12.0,6,6,ドメイン,松若風馬,様子見,D,30.17,0.0164,0.1522,0.1944
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,13.0,8,8,ケイアイアマゾン,中井裕二,様子見,D,29.07,0.0123,0.121,0.1508
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,1.0,3,3,エボルヴィング,ルメール,軸,S,64.48,0.1625,0.8054,0.825
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,2.0,8,8,ドルチェリターン,団野大成,複勝圏,A,62.58,0.1547,0.7807,0.8163
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,3.0,1,1,ドウアドバンテージ,浜中俊,能力注,B,58.67,0.1394,0.7336,0.7806
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,4.0,9,9,ハルフロンティア,和田陽希,様子見,C,57.71,0.1358,0.679,0.7603
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,5.0,2,2,ウインポセイドン,松若風馬,様子見,C,45.97,0.1191,0.5562,0.5828
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,6.0,4,4,バニーラビット,森田誠也,様子見,C,50.26,0.116,0.6004,0.6579
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,7.0,5,5,デルシエロ,吉村誠之,様子見,C,55.4,0.1052,0.6332,0.6956
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,8.0,7,7,ロックウイズユー,永島まな,様子見,D,35.51,0.05,0.2774,0.2891
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,9.0,6,6,アスクアメージモア,古川奈穂,様子見,D,31.14,0.0175,0.1332,0.1462
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,1.0,13,13,マテンロウブレイブ,横山典弘,軸,S,59.58,0.1464,0.7926,0.7959
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,2.0,11,11,アラナコア,菱田裕二,複勝圏,A,60.32,0.1366,0.7789,0.7886
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,3.0,8,8,ライノ,西村淳也,能力注,B,56.19,0.1349,0.7586,0.7586
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,4.0,3,3,ショーダンサー,古川吉洋,様子見,C,44.88,0.0884,0.568,0.6102
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,5.0,10,10,ナグルファル,和田陽希,様子見,D,38.98,0.0776,0.3825,0.4238
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,6.0,5,5,バトンインディ,幸英明,様子見,D,42.75,0.075,0.4854,0.5356
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,7.0,15,15,モモンウールー,田山旺佑,様子見,D,37.82,0.0723,0.3351,0.4006
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,8.0,2,2,スーパージョック,武豊,様子見,D,33.6,0.0589,0.3805,0.3805
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,9.0,6,6,ワイドクリーガー,高杉吏麒,様子見,D,32.87,0.0525,0.3582,0.3582
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,10.0,1,1,メイショウオオコ,吉田隼人,様子見,D,33.21,0.0384,0.273,0.3059
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,11.0,14,14,レッドリベルタ,田口貫太,様子見,D,34.23,0.0352,0.2759,0.3488
